"Krasnushkin_DonNaKostylyah" "Kryukov_NaTihomDonu1898" "Kryukov_RechkeLazor1911" "Kryukov_Tatarnik1919" "Kryukov_Vglubine1913" "Kryukov_VojskovojKrugIRossiya1918" "Kryukov_Zyb1909" "Sholokhov_Celina" "Sholokhov_Don1-2" "Sholokhov_Don3-4" "Sholokhov_Sudba"
"еще" 0.223501523874026 0.19731000690585 0.227317651709824 0.238237045860631 0.168658269637923 0.137362637362637 0.213384182329974 0.172172654931276 0.127697142316626 0.169590667884241 0.3087260510306
"когда" 0.243819844226211 0.161136505639778 0.158134018580747 0.119118522930316 0.18660063874834 0.206043956043956 0.267865250158903 0.185194116228599 0.111406560374999 0.169169847368399 0.254244983201671
"тебя" 0.00677277345072807 0.0394620013811701 0.0494168808064835 0.0595592614651578 0.0394732120429181 0 0.0681013347861618 0.258017844224741 0.105626031298937 0.17169477046345 0.217924271315718
"тебе" 0.0203183203521842 0.0624815021868526 0.0494168808064835 0.0595592614651578 0.061004054975419 0 0.0635612458004177 0.253677357125633 0.0961669837199281 0.153599488282253 0.217924271315718
"него" 0.0609549610565527 0.151271005294485 0.158134018580747 0.119118522930316 0.100477267018337 0.206043956043956 0.158903114501044 0.193875090426815 0.114559576234668 0.139291590743632 0.245164805230183
"тут" 0 0.164425005754875 0.138367266258154 0.0595592614651578 0.157892848171673 0.137362637362637 0.140742758558068 0.189534603327707 0.111406560374999 0.139291590743632 0.3087260510306
"давыдов" 0 0 0 0 0 0 0 0.526645768025078 0 0 0
"надо" 0.0474094141550965 0.0986550034529251 0.11860051393556 0.119118522930316 0.150715900527506 0.343406593406593 0.136202669572324 0.20979020979021 0.0793508991350226 0.144762257449575 0.163443203486788
"ни" 0.0406366407043684 0.207175507251143 0.098833761612967 0.178677784395473 0.215308429325008 0.549450549450549 0.186143648415509 0.176995418374729 0.0898609520005886 0.129191898363429 0.181603559429765
"чего" 0.0203183203521842 0.14469400506429 0.14825064241945 0.178677784395473 0.0753579502637528 0.0686813186813187 0.13166258058658 0.141789245237521 0.121916613240565 0.166224103757506 0.0635612458004177
"нас" 0.00677277345072807 0.22361800782663 0.128483890096857 0.297796307325789 0.233250798435425 0.274725274725275 0.0499409788431853 0.141306968893176 0.09248846521698 0.153599488282253 0.290565695087624
"нет" 0.155773789366746 0.177579006215265 0.177900770903341 0.238237045860631 0.197366060214591 0.480769230769231 0.177063470444021 0.146129732336629 0.0940649731468149 0.140133231775316 0.127122491600835
"со" 0.0677277345072807 0.1315400046039 0.0889503854516703 0.0595592614651578 0.104065740840421 0.0686813186813187 0.0817216017433942 0.142271521581866 0.131901163462852 0.13887077022779 0.20884409334423
"чтобы" 0.149001015916018 0.174290506100168 0.098833761612967 0 0.16506979581584 0.274725274725275 0.127122491600835 0.157222088256571 0.0567542854740559 0.137608308680265 0.254244983201671
"там" 0.115137148662377 0.111809003913315 0.098833761612967 0.178677784395473 0.118419636128754 0.206043956043956 0.0817216017433942 0.130696889317579 0.109830052445164 0.13171682145848 0.199763915372741
"где" 0.182864883169658 0.124963004373705 0.138367266258154 0.119118522930316 0.107654214662504 0 0.13166258058658 0.102724861345551 0.11718708945106 0.135925026616898 0.1543630255153
"кто" 0.0745005079580088 0.0986550034529251 0.0790670092903736 0.0595592614651578 0.114831162306671 0.137362637362637 0.172523381458277 0.141789245237521 0.100371004866154 0.125825334236695 0.0908017797148824
"через" 0.0812732814087369 0.0559045019566576 0.0790670092903736 0.178677784395473 0.0753579502637528 0.0686813186813187 0.0908017797148824 0.125391849529781 0.141360211041862 0.113621539277283 0.190683737401253
"без" 0.121909922113105 0.10523200368312 0.0691836331290769 0.178677784395473 0.118419636128754 0 0.118042313629347 0.151434772124427 0.0819784123514141 0.116988103404017 0.127122491600835
"уж" 0.0338638672536404 0.134828504718998 0.0395335046451868 0.119118522930316 0.179423691104173 0 0.136202669572324 0.149505666747046 0.0593817986904474 0.121617129078277 0.036320711885953
